Assemblage_Name	6278862-0-4	1-1-1	3-5437308-1	4122708-6092088-1	3137862-0-4	1-0-4	4122708-7696843-9020058	4122708-9524480-1	7994592-7057881-4798394	4122708-8858550-9020058	4122708-368458-1	4122708-7057881-8728393	4122708-5054630-1	4122708-533743-4183744	8291512-5796611-5909726	3-0-885661	4122708-4111701-1	4451947-7057881-9020058	3156360-0-1	0-7182328-3	5901222-8746381-1	7994592-7057881-9020058	0-1-3	8593696-7057881-7668173	5901222-7057881-1	4122708-4512747-1	6877217-0-1	4979587-7057881-1	1-1419806-4	7994592-5945578-9020058	1-1-6445342	3-7056631-1	2-2-4	3-4646215-1	4122708-2548673-1	4122708-9173726-3597671	5901222-8819837-1	9982968-7057881-1	3-1-1	3-1-4	3100670-7057881-1	4122708-6764257-1	240441-0-4	4122708-7057881-7668173	4122708-7057881-9318974	4122708-7057881-7880574	4122708-9173726-1	4122708-2229869-9020058	8223918-7057881-9020058	1-0-7788596	0-5796611-3	4122708-7057881-1	4122708-7057881-9020058	2071973-0-4	2936605-5796611-3	0-5796611-6495450	3-0-1	4122708-7057881-4183744	4122708-8447117-1	4122708-8378225-1	1326126-7057881-1	1326126-6150652-1	6688220-7057881-9020058	4122708-3410732-1	9438794-7057881-1	3-3-4	4122708-5387930-1	0-5796611-5909726	9704867-7057881-9020058	1017114-5796611-5909726	4122708-9173726-505969	4122708-9173726-3063168
assemblage-766-603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	14
assemblage-737-767	0	0	0	0	53	370	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-663-744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	15	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	18
assemblage-726-965	0	0	0	0	19	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-379-102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	17	0	0	0	0	38	138	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	36	0	0	8
assemblage-762-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	9
assemblage-753-770	0	0	0	0	47	371	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-747-774	0	0	0	0	57	352	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-381-816	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-405-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	9	0	0	319	0	0	0	0	104	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-855-346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	14	0	0	0	0	37	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	28
assemblage-944-541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-786-921	0	0	0	0	0	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	16
assemblage-684-767	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	177	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-414-683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	86	0	0	0	0	12	12	0	0	0	0	0	0	0	112	6	0	0	0	0	0	0	0	0	0	12
assemblage-653-962	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	0	0	0	0	23	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-311-427	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	364	78	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	10
assemblage-426-694	0	0	0	0	0	0	0	0	0	0	13	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351	16	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-604-126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	66	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	221	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-783-921	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	9
assemblage-293-730	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	6	0	0	17	371	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	31	0	0	9
assemblage-431-667	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	18	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-292-700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	11	0	0	324	0	0	0	0	77	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-726-971	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-294-696	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	22	0	0	0	0	33	159	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	25	0	0	13
assemblage-399-81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	25	0	0	0	0	0	107	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	22
assemblage-694-487	6	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-379-112	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	5	0	0	8	393	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	28	0	0	8
assemblage-832-326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	110	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	19
assemblage-597-123	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	176	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9
assemblage-907-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	83	0	0	0	0	5	17	0	0	0	0	0	0	0	118	9	0	0	0	0	0	0	0	0	0	11
assemblage-907-621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	57	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	13
